
EXAMPLE ILLUSTRATING THEOREM 3.5 FOR n=2

NOTATIONS:
π₁,π₂,π₃ are the three components of the vector partition of 9. [] denotes an empty partition.
ω(π)=(−1)^#(π₁)
c(π)=#(π₂)-#(π₃)          
s(π)=  ∑      (−1)ᵖp +   ∑      (−1)ᵖ⁺¹p +   ∑      (−1)ᵖ⁺¹p
      p∈π₁              p∈π₂                p∈π₃         



π₁                 π₂                                   π₃                                   ω(π)          c(π)          s(π)          c(π) mod 5          ω(π)s(π)
[]                 []                                   [1, 1, 1, 1, 2, 3]                   1             -6            5             4                   5
[]                 []                                   [1, 1, 1, 1, 1, 4]                   1             -6            1             4                   1
[]                 []                                   [9]                                  1             -1            9             4                   9
[]                 [1]                                  [1, 1, 1, 1, 1, 1, 2]                1             -6            5             4                   5
[]                 [1]                                  [4, 4]                               1             -1            -7            4                   -7
[]                 [1]                                  [3, 5]                               1             -1            9             4                   9
[]                 [1]                                  [2, 6]                               1             -1            -7            4                   -7
[]                 [1]                                  [1, 7]                               1             -1            9             4                   9
[]                 [1, 1]                               [2, 2, 3]                            1             -1            1             4                   1
[]                 [1, 1]                               [1, 3, 3]                            1             -1            9             4                   9
[]                 [1, 1]                               [1, 2, 4]                            1             -1            -3            4                   -3
[]                 [1, 1]                               [1, 1, 5]                            1             -1            9             4                   9
[]                 [2]                                  [1, 1, 1, 1, 1, 1, 1]                1             -6            5             4                   5
[]                 [2]                                  [3, 4]                               1             -1            -3            4                   -3
[]                 [2]                                  [2, 5]                               1             -1            1             4                   1
[]                 [2]                                  [1, 6]                               1             -1            -7            4                   -7
[]                 [1, 1, 1]                            [1, 1, 2, 2]                         1             -1            1             4                   1
[]                 [1, 1, 1]                            [1, 1, 1, 3]                         1             -1            9             4                   9
[]                 [1, 2]                               [2, 2, 2]                            1             -1            -7            4                   -7
[]                 [1, 2]                               [1, 2, 3]                            1             -1            1             4                   1
[]                 [1, 2]                               [1, 1, 4]                            1             -1            -3            4                   -3
[]                 [3]                                  [3, 3]                               1             -1            9             4                   9
[]                 [3]                                  [2, 4]                               1             -1            -3            4                   -3
[]                 [3]                                  [1, 5]                               1             -1            9             4                   9
[]                 [1, 1, 1, 1]                         [1, 1, 1, 1, 1]                      1             -1            9             4                   9
[]                 [1, 1, 2]                            [1, 1, 1, 2]                         1             -1            1             4                   1
[]                 [2, 2]                               [1, 2, 2]                            1             -1            -7            4                   -7
[]                 [2, 2]                               [1, 1, 3]                            1             -1            1             4                   1
[]                 [1, 3]                               [1, 2, 2]                            1             -1            1             4                   1
[]                 [1, 3]                               [1, 1, 3]                            1             -1            9             4                   9
[]                 [4]                                  [2, 3]                               1             -1            -3            4                   -3
[]                 [4]                                  [1, 4]                               1             -1            -7            4                   -7
[]                 [1, 1, 1, 1, 1]                      [4]                                  1             4             1             4                   1
[]                 [1, 2, 2]                            [1, 1, 1, 1]                         1             -1            1             4                   1
[]                 [1, 1, 3]                            [1, 1, 1, 1]                         1             -1            9             4                   9
[]                 [2, 3]                               [1, 1, 2]                            1             -1            1             4                   1
[]                 [1, 4]                               [1, 1, 2]                            1             -1            -3            4                   -3
[]                 [5]                                  [2, 2]                               1             -1            1             4                   1
[]                 [5]                                  [1, 3]                               1             -1            9             4                   9
[]                 [1, 1, 1, 1, 1, 1]                   [1, 2]                               1             4             5             4                   5
[]                 [1, 1, 1, 1, 2]                      [3]                                  1             4             5             4                   5
[]                 [3, 3]                               [1, 1, 1]                            1             -1            9             4                   9
[]                 [2, 4]                               [1, 1, 1]                            1             -1            -3            4                   -3
[]                 [1, 5]                               [1, 1, 1]                            1             -1            9             4                   9
[]                 [6]                                  [1, 2]                               1             -1            -7            4                   -7
[]                 [1, 1, 1, 1, 1, 2]                   [1, 1]                               1             4             5             4                   5
[]                 [1, 1, 1, 2, 2]                      [2]                                  1             4             -3            4                   -3
[]                 [1, 1, 1, 1, 3]                      [2]                                  1             4             5             4                   5
[]                 [7]                                  [1, 1]                               1             -1            9             4                   9
[]                 [1, 1, 2, 2, 2]                      [1]                                  1             4             -3            4                   -3
[]                 [1, 1, 1, 2, 3]                      [1]                                  1             4             5             4                   5
[]                 [1, 1, 1, 1, 4]                      [1]                                  1             4             1             4                   1
[]                 [1, 1, 1, 1, 1, 1, 1, 1, 1]          []                                   1             9             9             4                   9
[]                 [2, 2, 2, 3]                         []                                   1             4             -3            4                   -3
[]                 [1, 2, 3, 3]                         []                                   1             4             5             4                   5
[]                 [1, 2, 2, 4]                         []                                   1             4             -7            4                   -7
[]                 [1, 1, 3, 4]                         []                                   1             4             1             4                   1
[]                 [1, 1, 2, 5]                         []                                   1             4             5             4                   5
[]                 [1, 1, 1, 6]                         []                                   1             4             -3            4                   -3
[1]                []                                   [1, 1, 1, 1, 2, 2]                   -1            -6            -1            4                   1
[1]                []                                   [1, 1, 1, 1, 1, 3]                   -1            -6            7             4                   -7
[1]                []                                   [8]                                  -1            -1            -9            4                   9
[1]                [1]                                  [1, 1, 1, 1, 1, 1, 1]                -1            -6            7             4                   -7
[1]                [1]                                  [3, 4]                               -1            -1            -1            4                   1
[1]                [1]                                  [2, 5]                               -1            -1            3             4                   -3
[1]                [1]                                  [1, 6]                               -1            -1            -5            4                   5
[1]                [1, 1]                               [2, 2, 2]                            -1            -1            -5            4                   5
[1]                [1, 1]                               [1, 2, 3]                            -1            -1            3             4                   -3
[1]                [1, 1]                               [1, 1, 4]                            -1            -1            -1            4                   1
[1]                [2]                                  [3, 3]                               -1            -1            3             4                   -3
[1]                [2]                                  [2, 4]                               -1            -1            -9            4                   9
[1]                [2]                                  [1, 5]                               -1            -1            3             4                   -3
[1]                [1, 1, 1]                            [1, 1, 1, 2]                         -1            -1            3             4                   -3
[1]                [1, 2]                               [1, 2, 2]                            -1            -1            -5            4                   5
[1]                [1, 2]                               [1, 1, 3]                            -1            -1            3             4                   -3
[1]                [3]                                  [2, 3]                               -1            -1            3             4                   -3
[1]                [3]                                  [1, 4]                               -1            -1            -1            4                   1
[1]                [1, 1, 2]                            [1, 1, 1, 1]                         -1            -1            3             4                   -3
[1]                [2, 2]                               [1, 1, 2]                            -1            -1            -5            4                   5
[1]                [1, 3]                               [1, 1, 2]                            -1            -1            3             4                   -3
[1]                [4]                                  [2, 2]                               -1            -1            -9            4                   9
[1]                [4]                                  [1, 3]                               -1            -1            -1            4                   1
[1]                [1, 1, 1, 1, 1]                      [3]                                  -1            4             7             4                   -7
[1]                [2, 3]                               [1, 1, 1]                            -1            -1            3             4                   -3
[1]                [1, 4]                               [1, 1, 1]                            -1            -1            -1            4                   1
[1]                [5]                                  [1, 2]                               -1            -1            3             4                   -3
[1]                [1, 1, 1, 1, 1, 1]                   [1, 1]                               -1            4             7             4                   -7
[1]                [1, 1, 1, 1, 2]                      [2]                                  -1            4             -1            4                   1
[1]                [6]                                  [1, 1]                               -1            -1            -5            4                   5
[1]                [1, 1, 1, 2, 2]                      [1]                                  -1            4             -1            4                   1
[1]                [1, 1, 1, 1, 3]                      [1]                                  -1            4             7             4                   -7
[1]                [2, 2, 2, 2]                         []                                   -1            4             -9            4                   9
[1]                [1, 2, 2, 3]                         []                                   -1            4             -1            4                   1
[1]                [1, 1, 3, 3]                         []                                   -1            4             7             4                   -7
[1]                [1, 1, 2, 4]                         []                                   -1            4             -5            4                   5
[1]                [1, 1, 1, 5]                         []                                   -1            4             7             4                   -7
[2]                []                                   [1, 1, 1, 1, 1, 2]                   -1            -6            5             4                   -5
[2]                []                                   [7]                                  -1            -1            9             4                   -9
[2]                [1]                                  [3, 3]                               -1            -1            9             4                   -9
[2]                [1]                                  [2, 4]                               -1            -1            -3            4                   3
[2]                [1]                                  [1, 5]                               -1            -1            9             4                   -9
[2]                [1, 1]                               [1, 2, 2]                            -1            -1            1             4                   -1
[2]                [1, 1]                               [1, 1, 3]                            -1            -1            9             4                   -9
[2]                [2]                                  [2, 3]                               -1            -1            1             4                   -1
[2]                [2]                                  [1, 4]                               -1            -1            -3            4                   3
[2]                [1, 1, 1]                            [1, 1, 1, 1]                         -1            -1            9             4                   -9
[2]                [1, 2]                               [1, 1, 2]                            -1            -1            1             4                   -1
[2]                [3]                                  [2, 2]                               -1            -1            1             4                   -1
[2]                [3]                                  [1, 3]                               -1            -1            9             4                   -9
[2]                [2, 2]                               [1, 1, 1]                            -1            -1            1             4                   -1
[2]                [1, 3]                               [1, 1, 1]                            -1            -1            9             4                   -9
[2]                [4]                                  [1, 2]                               -1            -1            -3            4                   3
[2]                [1, 1, 1, 1, 1]                      [2]                                  -1            4             5             4                   -5
[2]                [5]                                  [1, 1]                               -1            -1            9             4                   -9
[2]                [1, 1, 1, 1, 2]                      [1]                                  -1            4             5             4                   -5
[2]                [1, 2, 2, 2]                         []                                   -1            4             -3            4                   3
[2]                [1, 1, 2, 3]                         []                                   -1            4             5             4                   -5
[2]                [1, 1, 1, 4]                         []                                   -1            4             1             4                   -1
[1, 2]             []                                   [1, 1, 1, 1, 1, 1]                   1             -6            7             4                   7
[1, 2]             []                                   [6]                                  1             -1            -5            4                   -5
[3]                []                                   [1, 1, 1, 1, 1, 1]                   -1            -6            3             4                   -3
[3]                []                                   [6]                                  -1            -1            -9            4                   9
[1, 2]             [1]                                  [2, 3]                               1             -1            3             4                   3
[1, 2]             [1]                                  [1, 4]                               1             -1            -1            4                   -1
[3]                [1]                                  [2, 3]                               -1            -1            -1            4                   1
[3]                [1]                                  [1, 4]                               -1            -1            -5            4                   5
[1, 2]             [1, 1]                               [1, 1, 2]                            1             -1            3             4                   3
[1, 2]             [2]                                  [2, 2]                               1             -1            -5            4                   -5
[1, 2]             [2]                                  [1, 3]                               1             -1            3             4                   3
[3]                [1, 1]                               [1, 1, 2]                            -1            -1            -1            4                   1
[3]                [2]                                  [2, 2]                               -1            -1            -9            4                   9
[3]                [2]                                  [1, 3]                               -1            -1            -1            4                   1
[1, 2]             [1, 2]                               [1, 1, 1]                            1             -1            3             4                   3
[1, 2]             [3]                                  [1, 2]                               1             -1            3             4                   3
[3]                [1, 2]                               [1, 1, 1]                            -1            -1            -1            4                   1
[3]                [3]                                  [1, 2]                               -1            -1            -1            4                   1
[1, 2]             [4]                                  [1, 1]                               1             -1            -1            4                   -1
[3]                [4]                                  [1, 1]                               -1            -1            -5            4                   5
[1, 2]             [1, 1, 1, 1, 1]                      [1]                                  1             4             7             4                   7
[3]                [1, 1, 1, 1, 1]                      [1]                                  -1            4             3             4                   -3
[1, 2]             [1, 1, 2, 2]                         []                                   1             4             -1            4                   -1
[1, 2]             [1, 1, 1, 3]                         []                                   1             4             7             4                   7
[3]                [1, 1, 2, 2]                         []                                   -1            4             -5            4                   5
[3]                [1, 1, 1, 3]                         []                                   -1            4             3             4                   -3
[1, 3]             []                                   [5]                                  1             -1            1             4                   1
[4]                []                                   [5]                                  -1            -1            9             4                   -9
[1, 3]             [1]                                  [2, 2]                               1             -1            -7            4                   -7
[1, 3]             [1]                                  [1, 3]                               1             -1            1             4                   1
[4]                [1]                                  [2, 2]                               -1            -1            1             4                   -1
[4]                [1]                                  [1, 3]                               -1            -1            9             4                   -9
[1, 3]             [1, 1]                               [1, 1, 1]                            1             -1            1             4                   1
[1, 3]             [2]                                  [1, 2]                               1             -1            -7            4                   -7
[4]                [1, 1]                               [1, 1, 1]                            -1            -1            9             4                   -9
[4]                [2]                                  [1, 2]                               -1            -1            1             4                   -1
[1, 3]             [3]                                  [1, 1]                               1             -1            1             4                   1
[4]                [3]                                  [1, 1]                               -1            -1            9             4                   -9
[1, 3]             [1, 1, 1, 2]                         []                                   1             4             -3            4                   -3
[4]                [1, 1, 1, 2]                         []                                   -1            4             5             4                   -5
[2, 3]             []                                   [4]                                  1             -1            -5            4                   -5
[1, 4]             []                                   [4]                                  1             -1            -1            4                   -1
[5]                []                                   [4]                                  -1            -1            -9            4                   9
[2, 3]             [1]                                  [1, 2]                               1             -1            -1            4                   -1
[1, 4]             [1]                                  [1, 2]                               1             -1            3             4                   3
[5]                [1]                                  [1, 2]                               -1            -1            -5            4                   5
[2, 3]             [2]                                  [1, 1]                               1             -1            -1            4                   -1
[1, 4]             [2]                                  [1, 1]                               1             -1            3             4                   3
[5]                [2]                                  [1, 1]                               -1            -1            -5            4                   5
[2, 3]             [1, 1, 1, 1]                         []                                   1             4             3             4                   3
[1, 4]             [1, 1, 1, 1]                         []                                   1             4             7             4                   7
[5]                [1, 1, 1, 1]                         []                                   -1            4             -1            4                   1
[1, 2, 3]          []                                   [3]                                  -1            -1            1             4                   -1
[2, 4]             []                                   [3]                                  1             -1            9             4                   9
[1, 5]             []                                   [3]                                  1             -1            -3            4                   -3
[6]                []                                   [3]                                  -1            -1            9             4                   -9
[1, 2, 3]          [1]                                  [1, 1]                               -1            -1            1             4                   -1
[2, 4]             [1]                                  [1, 1]                               1             -1            9             4                   9
[1, 5]             [1]                                  [1, 1]                               1             -1            -3            4                   -3
[6]                [1]                                  [1, 1]                               -1            -1            9             4                   -9
[1, 2, 4]          []                                   [2]                                  -1            -1            3             4                   -3
[3, 4]             []                                   [2]                                  1             -1            -1            4                   -1
[2, 5]             []                                   [2]                                  1             -1            -5            4                   -5
[1, 6]             []                                   [2]                                  1             -1            3             4                   3
[7]                []                                   [2]                                  -1            -1            -9            4                   9
[1, 3, 4]          []                                   [1]                                  -1            -1            1             4                   -1
[1, 2, 5]          []                                   [1]                                  -1            -1            -3            4                   3
[3, 5]             []                                   [1]                                  1             -1            -7            4                   -7
[2, 6]             []                                   [1]                                  1             -1            9             4                   9
[1, 7]             []                                   [1]                                  1             -1            -7            4                   -7
[8]                []                                   [1]                                  -1            -1            9             4                   -9


Mᵥ(4, 5, n) =                    Σ                               ω(π)s(π) =                                                                                30
                                π∈V 
                               |π|=n
                               c(π)≡4 (mod 5)

